Row,Column,NodeNum
0,0,8
0,1,7
0,2,6
0,3,5
0,4,4
0,5,3
0,6,2
0,7,1
0,8,0
1,0,26
1,1,25
1,2,24
1,3,23
1,4,22
1,5,21
1,6,20
1,7,19
1,8,18
2,0,17
2,1,16
2,2,15
2,3,14
2,4,13
2,5,12
2,6,11
2,7,10
2,8,9
3,0,35
3,1,34
3,2,33
3,3,32
3,4,31
3,5,30
3,6,29
3,7,28
3,8,27
